"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12218","Test build computer: CPU 2.2 GHz Intel Pentium Dual-Core E2200, RAM: 4GB, HDD: 400 GB, OS: Windows 10, Software: Acrobat Reader","chromium","Mon Oct 28 15:00:40 ICT 2024","passed","Mon Oct 28 15:00:52 ICT 2024","","test.spec.ts","",""
"","7795","Test build your computer: CPU 2.2 GHz Intel Pentium Dual-Core E2200, RAM: 4GB, HDD: 400 GB, OS: Windows 10, Software: Acrobat Reader","chromium","Mon Oct 28 15:08:31 ICT 2024","passed","Mon Oct 28 15:08:39 ICT 2024","","orderComputerProducts.spec.ts","",""
